id,name,taicol_taxon_id,is_valid,scientific_name,taxon_status,note,
773,野山羊,t0099486,T,Capra aegagrus,accepted,ok,
774,野豬,t0099008,T,Sus scrofa,accepted,ok,
775,鼬獾,t0027888,T,Melogale subaurantiaca,accepted,ok,
776,白鼻心,t0086045,T,Paguma larvata larvata,accepted,ok,
777,食蟹獴,t0085747,T,Urva urva formosana,accepted,ok,
778,松鼠,,F,,,no-match,
779,飛鼠,,F,,,no-match,
780,黃喉貂,t0085880,T,Martes flavigula chrysospila,accepted,ok,
781,黃鼠狼,t0085950,T,Mustela sibirica taivana,accepted,ok,
782,小黃鼠狼,t0096471,T,Mustela nivalis,accepted,ok,
783,麝香貓,t0086418,T,Viverricula indica pallida,accepted,ok,
784,黑熊,,F,,,no-match,
785,石虎,t0105762,T,Prionailurus bengalensis euptilurus,accepted,ok,
786,穿山甲,,F,,,no-match,
787,梅花鹿,t0085426,T,Cervus nippon taiouanus,accepted,ok,
788,野兔,,F,,,no-match,
789,蝙蝠,,F,,,no-match,
790,巨嘴鴉,t0085499,T,Corvus macrorhynchos colonorum,accepted,ok,
791,臺灣山鷓鴣(深山竹雞),,F,,,no-match,
792,松鼠-無法辨識種類,,F,,,no-match,
793,黑長尾雉(帝雉),,F,,,no-match,
794,綠啄木,t0086114,T,Picus canus tancolo,accepted,ok,
795,臺灣噪眉(金翼白眉),,F,,,no-match,
796,白氏/虎斑地鶇,,F,,,no-match,
797,臺灣紫嘯鶇(紫嘯鶇),,F,,,no-match,
798,臺灣竹雞(竹雞),,F,,,no-match,
799,飛鼠-無法辨識種類,,F,,,no-match,
801,黑喉噪眉(黑喉笑鶇),,F,,,no-match,
802,巨嘴鴉(烏鴉、大嘴烏鴉),,F,,,no-match,
803,白腹秧雞(白胸秧雞),,F,,,no-match,
804,鳥類(無法辨識),,F,,,no-match,
805,夜行性猛禽,,F,,,no-match,
806,黃胸藪眉(黃痣藪眉、藪鳥),,F,,,no-match,
807,棕噪眉(竹鳥),,F,,,no-match,
808,黃嘴角鴞/領角鴞,,F,,,no-match,
809,鶇科(無法辨識),,F,,,no-match,
810,臺灣藍鵲,t0048427,T,Urocissa caerulea,accepted,ok,
811,11803,,F,,,ignored,
812,10701,,F,,,ignored,
813,11801,,F,,,ignored,
814,12,,F,,,ignored,
815,11301,,F,,,ignored,
816,15,,F,,,ignored,
817,11303,,F,,,ignored,
818,1,,F,,,ignored,
819,21807,,F,,,ignored,
820,臺灣白喉噪眉(白喉笑鶇),,F,,,no-match,
821,3,,F,,,ignored,
822,臺灣水鹿,t0086217,T,Rusa unicolor swinhoii,accepted,ok,
823,閒雜人等（不確定獵人）,,F,,,ignored,
824,鼬貛,t0027888,T,Melogale subaurantiaca,accepted,ok,
825,斯氏/日菲繡眼(綠繡眼),,F,,,no-match,
827,柳鶯類(無法辨識),,F,,,no-match,
830,白鷺類(無法辨識),,F,,,no-match,
831,0,,F,,,ignored,
832,臺灣紫嘯鶇,t0080787,T,Myophonus insularis,accepted,ok,
833,11201,,F,,,ignored,
834,犬,t0085383,T,Canis familiaris,accepted,ok,
835,臺灣噪眉,t0048060,T,Trochalopteron morrisonianum,accepted,ok,
